City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Corpus Christi,US,82.0,broken clouds,27.8,-97.4,Hotel Corpus Christi Bayfront
300,Marawi,PH,75.99,light rain,8.0,124.29,Marawi Resort Hotel
301,Ashqelon,IL,80.6,few clouds,31.67,34.57,מלון גולדן טאוור
302,Benguela,AO,78.8,few clouds,-12.58,13.41,Luso
303,Bintulu,MY,78.8,light rain,3.17,113.03,Bakun Inn
304,Scarborough,GB,73.99,clear sky,54.28,-0.4,Bike and Boot
307,Loubomo,CG,86.29,overcast clouds,-4.2,12.67,Residence Nelson
308,Ampanihy,MG,77.25,clear sky,-24.7,44.75,Hotel restaurant Angora
309,Sibiti,CG,82.81,overcast clouds,-3.68,13.35,Résidence Hotelière le Barreau
310,Dakar,SN,84.2,few clouds,14.69,-17.44,翁记小吃
311,Tabou,CI,79.3,broken clouds,4.42,-7.35,hôtel le rochet
312,Tema,GH,84.2,broken clouds,5.67,-0.02,Macbaron
313,Bar Harbor,US,75.99,clear sky,44.39,-68.2,Bar Harbor Inn & Spa
314,Sulangan,PH,85.08,moderate rain,11.14,123.72,Marion's Inn
315,Santarem,BR,82.4,broken clouds,-2.44,-54.71,Prático Hotel
316,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Horisun
317,Warrington,GB,88.0,clear sky,53.39,-2.58,The Waterside Hotel
318,Jefferson City,US,70.0,broken clouds,38.58,-92.17,Capitol Plaza Hotel & Convention Center Jefferson City
319,Soto La Marina,MX,75.0,overcast clouds,23.77,-98.22,Arellano
323,Senanga,ZM,79.86,clear sky,-16.12,23.27,Senanga Safari Lodge
324,Natal,BR,80.6,broken clouds,-5.79,-35.21,Hotel Natal
325,Mananjary,MG,70.83,light rain,-21.22,48.33,Ideal Hotel Annexe
327,Rosario Oeste,BR,86.85,clear sky,-14.84,-56.43,Hotel
330,Atambua,ID,70.93,scattered clouds,-9.11,124.89,Hotel Kingstar
331,Mtwara,TZ,84.2,scattered clouds,-10.27,40.18,Newala Guest House
332,Ewa Beach,US,75.2,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
336,Hirara,JP,84.18,light rain,24.8,125.28,古謝そば屋
337,Shache,CN,80.02,clear sky,38.42,77.24,莎車新盛賓舘
339,Komsomolsk,UA,76.42,clear sky,49.01,33.65,Славутич
340,Villagarzon,CO,74.14,overcast clouds,1.04,-76.63,San Martin
342,Ishigaki,JP,84.27,moderate rain,24.34,124.16,GranView ISHIGAKI
343,Kupang,ID,77.31,scattered clouds,-10.17,123.58,BIB & LANG GUEST HOUSE
347,Kostomuksha,RU,79.27,overcast clouds,64.57,30.58,Хозяюшка
348,Sabratah,LY,85.15,clear sky,32.79,12.49,فندق قمر صبراتة
349,Wuwei,CN,75.0,overcast clouds,37.93,102.64,Hepingli Boutique Hotel
350,Chake Chake,TZ,78.87,few clouds,-5.25,39.77,GT Hotel
